beach_name,latitude,longitude,last_sample_result
Balneario de Rincón,18.340925,-67.2560056,823
Balneario Crash Boat,18.4576667,-67.1637778,683
Tropical Beach,18.1869278,-65.7259667,482
Balneario El Escambrón,18.4672361,-66.0899583,350
Vacía Talega,18.4478583,-65.9062306,259
Pico de Piedra,18.3843639,-67.2129889,224
Balneario de Añasco or Balneario Tres Hermanos,18.2879972,-67.1939222,97
Balneario de Puerto Nuevo,18.4913667,-66.3990444,86
Balneario de Patillas,17.973975,-65.9889806,75
Muelle de Arecibo,18.4792583,-66.7004667,74
Playa Guayanés,18.0626944,-65.8191944,31
Balneario Punta Salinas,18.4716583,-66.1859944,31
Balneario Punta SantiAug,18.1584139,-65.7551861,31
Playa Santa,17.9377111,-66.9551972,31
Balneario Punta Guilarte,17.9620417,-66.04,30
Balneario de Carolina,18.4459889,-66.0035722,20
Playa El Alambique,18.4440917,-66.02215,20
Mar Chiquita,18.4729167,-66.4856556,10
Villa Lamela,18.0645333,-67.1975278,10
Playita Rosada,17.9717167,-66.0315,10
Caña Gorda,17.9525306,-66.8845611,10
Playa Sixto Escobar,18.4667306,-66.0866667,10
Balneario Manuel “Nolo” Morales or Sardinera,18.4746944,-66.2808917,10
Balneario Cerro Gordo or Javier Calderón Nieves,18.48125,-66.3406556,10
Balneario de Boquerón,18.0194417,-67.1722444,10
Playa el Combate,17.9747944,-67.2129056,5
Playa Azul,18.3818667,-65.7184583,5
Playita del Condado,18.4611306,-66.0824083,5
Playa Cabullón,17.9692833,-66.6027278,5
Balneario de Salinas,17.9775889,-66.3324972,5
Balneario Seven Seas,18.3692667,-65.6360722,5
Balneario La Monserrate,18.3855917,-65.7294722,5
Playa Moja Casabe,17.98581,-67.21459,5
Playa Buyé,18.0488722,-67.198625,5
Ocean Park,18.4530111,-66.0488806,5
